Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Shadyside,69,13290.0,840.386815699,4694.0,536.058765437,87.0,66.8954408012,65.0,59.0846849868,54.0,65.023072828,17.0,40.3112887415,35.0,57.0701322936,24.0,39.8748040746,19.0,38.0,8.0,38.0,59.0,50.4479930227,56.0,44.3621460256,0.0,37.4165738677,32.0,42.7784992724,43.0,60.0416522091,28.0,44.788391353,1333.0,300.923578339,2834.0,409.539985837,8596.0,602.418459212
Sheraden,70,5397.0,628.06687542,1454.0,342.073091605,151.0,106.089584786,43.0,53.860932038,43.0,47.1487009365,181.0,110.408333019,65.0,71.7843994194,131.0,97.3293378176,141.0,91.312649726,36.0,42.0594816896,31.0,37.7491721764,31.0,33.7638860323,32.0,33.7638860323,139.0,83.4206209519,37.0,38.7943294826,127.0,89.9388681272,148.0,68.1469001496,118.0,83.0060238778,3943.0,400.096238423
South Oakland,71,2910.0,508.969547223,1598.0,391.27611734,0.0,20.0,0.0,20.0,17.0,23.3666428911,10.0,20.5182845287,18.0,28.7923600978,0.0,20.0,25.0,28.0178514522,0.0,20.0,50.0,39.6232255124,48.0,42.9185274677,0.0,20.0,38.0,44.4971909226,0.0,20.0,11.0,24.9799919936,1042.0,294.820284241,339.0,238.337995292,1312.0,280.752560095
South Shore,72,12,14,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,8,9
South Side Flats,73,6250.0,742.962986965,2091.0,655.444887081,11.0,26.9258240357,23.0,41.5331193147,9.0,25.8650343127,3.0,23.4307490277,42.0,53.860932038,7.0,24.9198715887,32.0,58.4465567848,19.0,26.9258240357,13.0,28.0891438104,42.0,33.9705755029,7.0,24.9198715887,0.0,24.4948974278,5.0,24.4948974278,28.0,30.4138126515,1394.0,620.043546859,456.0,149.033553269,4159.0,416.799712092
South Side Slopes,74,4573.0,513.723661125,1166.0,258.754710102,30.0,44.3734154647,17.0,30.0,24.0,31.7647603485,33.0,45.7602447547,5.0,25.7681974535,0.0,26.4575131106,39.0,42.2610932183,19.0,32.2645316098,0.0,26.4575131106,21.0,32.9545141066,61.0,49.7493718552,84.0,56.920997883,27.0,31.5594676761,50.0,50.8527285403,587.0,178.988826466,169.0,77.8460018241,3407.0,382.302236456
Spring Garden,75,809.0,144.972411168,96.0,37.4432904537,14.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,15.0,12.7279220614,0.0,14.1421356237,0.0,14.1421356237,12.0,12.0415945788,7.0,14.1421356237,0.0,14.1421356237,10.0,14.8660687473,6.0,13.4536240471,7.0,14.8660687473,11.0,14.8660687473,8.0,15.6204993518,0.0,14.1421356237,6.0,13.4536240471,713.0,136.124942608
Spring Hill-City View,76,2291.0,373.064337615,569.0,229.54520252,98.0,85.3580693315,61.0,61.619802012,102.0,91.3016976841,68.0,64.7224845011,20.0,39.6106046407,6.0,17.9164728671,16.0,21.354156504,18.0,22.1133443875,23.0,25.3968501984,8.0,19.2093727123,29.0,47.1699056603,9.0,20.6155281281,17.0,26.1533936612,17.0,20.9045449604,77.0,49.8998997995,0.0,17.3205080757,1722.0,233.799059023
Squirrel Hill North,77,11072.0,684.358093399,5901.0,522.858489459,194.0,86.0987804792,59.0,54.5985347789,111.0,68.6075797561,20.0,32.634337744,145.0,71.5401984901,108.0,59.76621119,131.0,60.2079728939,72.0,56.8242905807,83.0,59.2958683215,70.0,45.0998891351,22.0,34.7850542618,82.0,41.0487515036,61.0,41.6533311994,58.0,37.2021504755,3916.0,375.735279152,769.0,151.917740899,5171.0,388.790431981
Squirrel Hill South,78,15510.0,866.322110996,4541.0,529.047256868,334.0,108.724422279,205.0,78.255990186,186.0,89.4874292848,129.0,67.4685111739,192.0,84.4393273303,126.0,69.0579466825,145.0,72.1595454532,99.0,64.7610994348,103.0,78.6129760281,91.0,59.3211597997,72.0,57.6367938042,74.0,82.6135582093,119.0,72.8354309385,167.0,103.160069795,610.0,231.315801448,1889.0,339.40094284,10969.0,655.022900361
St. Clair,79,261,93,61,36,16,18,0,10,21,18,10,14,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,200,75
Stanton Heights,80,4561.0,385.770657257,1139.0,230.612228644,88.0,44.3734154647,58.0,42.895221179,28.0,25.9036676939,26.0,33.9705755029,77.0,57.3933794092,52.0,54.055527007,65.0,35.9722114972,41.0,33.3766385366,31.0,31.1769145363,35.0,45.2769256907,31.0,26.8514431642,43.0,39.7617907041,34.0,27.892651362,75.0,52.0480547187,274.0,122.780291578,181.0,64.9153294685,3422.0,282.780833862
Strip District,81,740,91,55,44,9,14,8,13,0,10,0,10,0,10,0,10,0,10,9,13,0,10,0,10,0,10,0,10,0,10,0,10,15,15,14,14,685,82
Summer Hill,82,1127,83,194,44,12,14,37,22,9,10,0,10,29,20,0,10,6,9,0,10,13,16,0,10,15,18,23,20,0,10,5,8,40,26,5,9,933,75
Swisshelm Park,83,1290,104,279,57,17,13,16,12,11,11,16,11,31,19,8,10,5,7,5,7,9,10,29,23,15,13,5,8,11,11,13,12,58,33,30,18,1011,105
Terrace Village,84,2277.0,261.912199029,1328.0,197.512024951,41.0,37.6961536499,0.0,17.3205080757,8.0,17.9164728671,3.0,15.3622914957,4.0,15.3622914957,11.0,16.8819430161,7.0,17.3205080757,4.0,16.7630546142,11.0,16.8819430161,22.0,28.7228132327,14.0,19.8997487421,51.0,33.5410196625,14.0,17.9164728671,7.0,17.9164728672,1019.0,176.946319544,112.0,61.6441400297,949.0,161.54565918
Troy Hill,85,2225.0,314.72051093,458.0,102.06860438,24.0,31.384709653,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,15.6204993518,6.0,14.8660687473,49.0,11.6619037897,9.0,17.2046505341,26.0,25.5538646784,56.0,13.8924439894,51.0,12.8062484749,34.0,27.8028775489,9.0,17.2046505341,122.0,67.4759216313,65.0,45.607017004,1767.0,287.516956022
Upper Hill,86,1877.0,407.340152698,527.0,289.349269914,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,16.0,25.3179778023,7.0,20.6155281281,50.0,58.137767415,23.0,40.5462698654,19.0,26.1533936613,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,20.6155281281,49.0,38.6781592116,85.0,47.8643917751,258.0,271.405600532,13.0,19.8997487421,1350.0,278.433115847
Upper Lawrenceville,87,2662.0,391.154700854,625.0,206.21105693,82.0,69.4550214168,18.0,32.2645316098,0.0,17.3205080757,29.0,39.6106046407,34.0,35.902646142,50.0,53.8887743412,12.0,24.4948974278,35.0,37.5898922584,13.0,23.6854385647,18.0,26.1533936613,31.0,43.3704968844,23.0,34.9857113691,52.0,45.7055795281,45.0,46.346520905,85.0,53.4976635004,98.0,57.9137289422,2037.0,274.100346589
West End,88,235,138,71,60,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,71,60,0,10,164,101
West Oakland,89,1681.0,280.850494036,791.0,229.002183396,17.0,20.591260282,0.0,14.1421356237,22.0,35.4400902933,0.0,14.1421356237,7.0,15.6204993518,0.0,14.1421356237,6.0,13.4536240471,11.0,17.2046505341,9.0,15.6204993518,18.0,20.591260282,0.0,14.1421356237,29.0,24.4131112315,3.0,11.1803398875,13.0,23.2594066992,508.0,211.123186789,148.0,69.6347614342,890.0,149.241415163
Westwood,90,3303.0,370.276923397,629.0,189.200951372,75.0,56.0446250768,65.0,61.619802012,22.0,23.7065391823,10.0,18.0277563773,55.0,56.0446250768,0.0,14.1421356237,53.0,43.1856457634,21.0,24.1660919472,34.0,30.4138126515,10.0,18.0277563773,35.0,34.1320963318,25.0,25.0,33.0,24.5967477525,0.0,14.1421356237,178.0,77.7817459305,13.0,20.591260282,2674.0,256.095685243
Windgap,91,1526.0,367.021797718,410.0,200.412075484,108.0,83.6301381082,9.0,17.2046505341,24.0,31.3209195267,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,61.0,51.8555686499,8.0,17.2046505341,19.0,21.2602916255,10.0,21.4709105536,36.0,34.9857113691,0.0,14.1421356237,4.0,13.4536240471,28.0,35.4400902933,77.0,73.8241153012,21.0,25.079872408,1116.0,207.453609272
